Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
275,Rutgers Scarlet Knights,32.0,63.2,22.7,54.6,41.5,5.2,17.7,29.6,12.6,17.6,71.9,11.9,24.8,36.7,11.1,6.0,5.9,15.5,17.6
276,Southern Jaguars,31.0,63.1,22.2,54.6,40.6,5.2,16.2,32.3,13.5,20.6,65.5,13.1,24.1,37.1,10.6,5.6,2.5,17.0,16.6
277,Indiana State Sycamores,32.0,63.1,21.1,51.3,41.1,7.5,21.7,34.8,13.4,18.4,72.9,9.7,22.1,31.8,11.8,5.2,2.8,14.2,18.5
278,Colorado Buffaloes,31.0,62.9,21.8,47.9,45.4,5.5,16.0,34.6,13.8,18.9,73.1,6.5,21.1,27.6,11.5,6.0,1.6,14.1,18.5
279,UNC Greensboro Spartans,30.0,62.9,22.0,55.2,39.8,5.8,18.5,31.4,13.2,20.4,64.8,13.1,22.5,35.7,10.5,5.4,3.7,15.2,19.0
280,Wichita State Shockers,34.0,62.9,22.7,51.8,43.8,5.5,17.1,32.2,12.0,17.5,68.6,11.5,22.4,33.9,13.3,6.4,3.3,13.9,18.1
281,Canisius Golden Griffins,31.0,62.9,23.0,56.4,40.9,5.0,17.5,28.7,11.8,19.1,61.6,12.6,25.2,37.7,12.1,5.2,4.5,16.4,20.5
282,Florida International Panthers,33.0,62.8,21.8,52.5,41.7,5.8,16.8,34.9,13.2,20.7,63.8,11.4,23.0,34.4,12.0,5.4,2.9,15.1,19.0
283,Arkansas-Pine Bluff Golden Lions,31.0,62.7,22.9,57.0,40.1,4.0,13.9,28.8,12.9,20.9,61.8,14.4,23.6,38.0,10.9,8.7,2.7,19.5,22.7
284,New Hampshire Wildcats,30.0,62.5,21.6,55.8,38.6,8.0,24.7,32.4,11.4,17.8,64.0,12.5,23.5,36.0,10.8,5.5,2.8,13.3,20.6
285,Northeastern Huskies,32.0,62.5,21.4,49.4,43.4,5.8,17.0,34.0,13.9,19.0,73.2,10.1,20.8,30.9,11.6,7.4,2.7,12.6,17.3
286,Dartmouth Big Green,28.0,62.5,22.9,55.7,41.2,5.2,15.3,34.2,11.4,17.4,65.8,11.0,21.8,32.9,9.7,6.6,4.4,13.9,20.0
287,Iona Gaels,31.0,62.3,20.5,49.7,41.3,5.6,16.9,33.2,15.5,23.6,65.8,10.7,22.4,33.1,12.2,6.6,2.9,15.7,19.8
288,Central Michigan Chippewas,31.0,62.2,21.9,52.5,41.8,5.8,17.3,33.6,12.5,19.8,63.1,11.7,20.0,31.6,9.9,7.9,2.5,14.4,22.5
289,New Orleans Privateers,30.0,62.1,22.4,51.3,43.6,3.5,12.0,29.1,13.8,20.9,65.9,9.6,22.1,31.7,9.7,6.2,1.8,15.0,18.0
290,Monmouth Hawks,31.0,62.1,21.7,53.0,41.0,6.3,18.9,33.5,12.4,17.6,70.0,10.5,21.9,32.4,14.0,5.6,2.7,15.0,18.5
291,Western Michigan Broncos,31.0,61.9,20.5,52.0,39.4,6.4,20.5,31.1,14.6,20.8,70.1,10.6,23.6,34.2,10.9,5.4,3.1,13.3,20.6
292,Saint Louis Billikens,32.0,61.8,21.5,50.2,42.9,5.3,15.7,34.0,13.4,19.3,69.4,9.8,22.7,32.4,11.8,4.8,2.5,12.6,16.4
293,Pepperdine Waves,32.0,61.7,22.4,58.0,38.6,5.3,17.0,31.5,11.5,16.4,70.4,12.6,23.1,35.7,10.7,6.7,3.2,15.9,17.9
294,San Diego Toreros,32.0,61.7,22.5,51.5,43.7,4.9,14.2,34.7,11.8,16.8,70.4,9.1,21.3,30.4,11.5,5.8,3.5,13.3,18.3
295,Drexel Dragons,29.0,61.7,21.0,56.4,37.2,4.9,16.7,29.3,14.8,22.0,67.2,15.3,24.6,40.0,11.1,4.9,3.8,12.7,19.9
296,Samford Bulldogs,32.0,61.6,21.3,45.6,46.6,8.3,22.8,36.1,10.9,16.0,68.1,6.2,20.3,26.4,13.7,6.5,1.3,13.0,14.8
297,SIU Edwardsville Cougars,15.0,61.6,22.0,55.6,39.6,6.0,18.5,32.5,11.6,16.6,69.9,7.3,23.5,30.7,10.4,6.4,3.2,17.2,21.3
