Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
260,Hampton Pirates,35.0,75.5,26.4,63.2,41.8,7.4,22.9,32.5,15.2,22.3,68.1,11.8,26.5,38.3,13.1,5.7,3.5,12.8,19.0
261,Richmond Spiders,32.0,75.6,27.6,56.4,48.9,7.4,19.8,37.2,13.1,17.7,73.9,8.9,25.7,34.6,14.7,6.3,3.2,13.2,15.3
262,Western Carolina Catamounts,32.0,75.6,26.2,57.0,46.0,8.8,24.7,35.7,14.3,19.9,72.2,10.8,26.5,37.2,15.3,7.8,3.9,15.3,17.1
263,Arkansas Razorbacks,35.0,75.6,24.9,57.9,43.0,8.6,24.1,35.7,17.2,23.7,72.7,11.3,24.7,36.1,13.6,4.8,3.6,14.0,19.4
264,George Mason Patriots,33.0,75.7,27.2,60.4,45.1,8.4,23.9,35.3,12.8,18.6,68.6,9.8,25.8,35.6,14.1,6.4,4.3,11.4,17.7
265,Rice Owls,31.0,75.7,27.4,61.2,44.8,9.2,25.7,35.7,11.7,16.7,70.1,10.3,26.9,37.2,16.6,7.0,2.5,11.8,18.6
266,Green Bay Phoenix,33.0,75.7,27.2,63.2,43.1,7.7,24.6,31.2,13.6,19.1,71.0,11.5,28.2,39.6,13.6,6.9,4.3,13.6,18.9
267,Fairleigh Dickinson Knights,31.0,75.8,26.2,59.7,43.9,8.1,22.7,35.5,15.4,20.6,74.5,12.3,24.6,36.9,14.6,6.7,2.9,14.5,18.2
268,Ohio Bobcats,31.0,75.9,27.1,62.7,43.2,8.0,24.9,32.3,13.7,18.3,75.1,10.0,28.7,38.7,12.5,6.1,3.5,13.4,17.8
269,St. Francis (PA) Red Flash,31.0,76.0,28.8,62.5,46.1,8.2,23.5,35.0,10.1,14.5,69.6,11.0,25.1,36.1,15.8,5.3,3.7,13.7,18.8
